participant _number,file_name,test_date,response_id,response__uuid,age_range,rounded_age,gender,lan_spoken,scenario_1,full_response,scenario_2,full_response,notes
67,20230406_13,4/6,129305,fa2ffd27-2e6e-4c8f-a123-0ad9829a9822,2191-2556,2280,female,en,flood,Because the window was open.,sunburn,Because she forgot her sunscreen.,
68,20230406_15,4/6,129318,187bfac1-2c2b-417c-bda3-8091b2d7d1ec,2191-2556,2220,male,en,sunburn,Because she didn't bring sunscreen.,flood,Because the window was open and it is raining.,
69,20230407_02,4/7,129346,517da8b1-76d5-417b-866c-98e7dda87ff7,2191-2556,2550,female,en,flood,Because water got higher and the latch wasn't on the window.,sunburn,She forgot her sunscreen at home.,
70,20230407_04,4/7,129357,b8a1fe6b-23de-477a-9c6c-e6f98c9c9532,2191-2556,2520,female,en,sunburn,Because she didn't bring her sunscreen.,flood,Because it was raining really hard.,
71,20230407_06,4/7,129425,fee3be5d-6ee7-4901-9e15-c9164e733dae,2191-2556,2340,female,en,flood,Because the window was open and the window was broken.,sunburn,Because she didn't bring her sunscreen.,
72,20230409_01,4/9,129650,833d94c3-428e-4adb-ba49-a6cc76491c25,2191-2556,2310,female,en cmn,sunburn,Because she didn't bring her sunscreen.,flood,Because Andy didn't close the window.,
73,20230410_01,4/10,129733,e149a037-4492-483e-b153-8275a85b70b2,2191-2556,2490,male,en so,sunburn,Because she forgot her sunscreen.,flood,Because the rain was really big.,
74,20230410_02,4/10,129744,14955b4c-7fdf-46f2-8eef-b6f20a175ef6,2191-2556,2430,male,en,sunburn,Because she forgot her sunscreen and got really bad sunburn.,flood,Cause it was raining too much.,
75,20230410_11,4/10,129810,e0393d09-c909-49de-b16f-d49e362f3466,2191-2556,2370,female,en,flood,Because actually the window was open and he had the latch and left to his workshop.,sunburn,Because she forgot to bring her sunscreen and she get sunburn.,
76,20230410_15,4/10,129904,46e7fa08-2e6a-43ce-b089-176a2c565727,2191-2556,2460,male,en fr ru,sunburn,"Because she did not, she forgot her sunscreen.",flood,Because he went and he did not see that it was raining so it all went in.,
77,20230412_04,4/12,130304,bb4fe29c-0515-46f2-8d34-8cb640625705,2191-2556,2460,female,en pes,flood,He left the window open.,sunburn,She forgot her sunscreen.,
78,20230413_02,4/13,130454,3c5ae5f9-9e55-422b-bfe6-27b7cee90d42,2191-2556,2340,male,en km,flood,Because of the rain.,sunburn,Because she forgot her sunblock and the sun burned her skin.,
79,20230414_02,4/14,130572,a0f3cd32-1525-474a-b537-61b348f9c82c,2191-2556,2400,male,en ml,sunburn,She forgot to put on her sunscreen.,flood,Because Andy took of the latch on the window that closes it.,
80,20230414_04,4/14,130703,aed862cf-fa10-4fd4-9d0d-6309c9515c07,2191-2556,2250,male,en,sunburn,Cause she didn't bring her sunscreen.,flood,Because he left the window open and the water was rising.,
81,20230416_07,4/16,130945,f7f2ca04-7dc9-4da7-88bd-a2aad7c8f808,2191-2556,2400,male,en so,sunburn,Because she forgot her sunscreen. The sunscreen helps her so her screen doesn't burn.,flood,Because he forgot to shut the window.,
82,20230419_01,4/19,131447,354d8d42-2264-436c-9e26-7e0f60468544,2191-2556,2400,female,en,flood,Because the window was open.,sunburn,Because she forgot her sunscreen.,
83,20230419_06,4/19,131608,8a101a92-3a5f-489d-963e-34e755cc480d,2191-2556,2250,female,en,sunburn,Because she didn't wear the sunscreen.,flood,Because he left the window open.,
84,20230420_02,4/20,131779,069401e2-c735-4c6d-93ef-b897a65b6cf0,2191-2556,2340,male,,flood,Because he wasn't there on time and the basement window was open.,sunburn,She did not bring her sunscreen.,
85,20230421_02,4/21,131929,f7db1a49-0475-4f46-a2d3-5cf3f3470eb9,2191-2556,2340,female,en,sunburn,Because she didn't put sunscreen.,flood,Because the window was open.,
86,20230422_02,4/22,132068,005e7e71-7ac0-4815-8e4b-d924a5984650,2191-2556,2340,male,en hi ru,flood,Because Andy didn't close it. Because Andy took off the latch and did not close the window.,sunburn,Because she forgot to put sunscreen on before she came to beach.,
87,20230423_02,4/23,132119,524fabec-8db7-471e-9c24-e8b1218884d1,2191-2556,2460,male,en it,flood,The basement flooded because Andy kept the window open.,sunburn,Suzy's skin burned because she forgot to bring her sunscreen.,
88,20230423_03,4/23,132148,00fbd9ff-61cb-430a-a45a-b8754316babf,2191-2556,2490,male,en fr,sunburn,Because she forgot her sunscreen at home.,flood,Because he left the window open and he didn't know and the water flooded in the basement.,
89,20230423_06,4/23,132210,bee68771-038c-4296-a044-422cfe3d4861,2191-2556,2370,female,en,flood,Because the water was getting high.,sunburn,Cause she left her sunscreen at home.,
90,20230424_02,4/24,132449,b619d68b-e6c2-4be9-a7bd-c5ecf886931e,2191-2556,2430,female,en cmn es,sunburn,Because she didn't put her sunscreen on.,flood,Because Andy didn't fix the latch in time.,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,20230419_09,4/19,131644,b6a86053-0524-4790-a9e0-3df6d9901405,1461-1826,1740,female,,sunburn,Because she forgot her sunscreen.,flood,"Cause he forgot to, he has to be fast closing his window or getting his stuff. ",
,20230420_01,4/20,131670,,,,,,,,,,
,20230423_01,4/23,132108,,,,,,,,,,
,20230423_04,4/23,132151,,,,,,,,,,
,20230423_05,4/23,132178,,,,,,,,,,
,20230423_07,4/23,132234,,,,,,,,,,
,20230424_01,4/24,132442,,,,,,,,,,
